id,question,answer,intent,category,notes
29,Надай визначення що таке дискримінація,"Це ситуація, коли особа чи група осіб зазнає обмежень у реалізації прав і свобод через ознаки, які були, є або можуть бути припущеними (стать, 
вік, інвалідність, релігія тощо), крім випадків, коли таке обмеження є правомірним, об’єктивно обґрунтованим і необхідним для досягнення легітимної мети.",discrimination_definition,права людини;соціальна політика;культурні стандарти;дискримінація,
30,Поясни що таке гендерна дискрімінація,"Це означає будь-яке розрізнення, виключення чи обмеження, здійснене за ознакою статі, що має наслідком або метою погіршення або зведення нанівець можливостей жінок користуватися чи здійснювати права людини та основні свободи у політичній, економічній, соціальній, культурній, громадянській чи будь-якій іншій галузі, незалежно від сімейного статусу жінок та на основі рівності чоловіків і жінок.",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,
31,Що таке дискримінація жінок?,"Це будь-яке розрізнення, виключення чи обмеження прав та основних свобод людини у політичній, економічній, соціальній, культурній, громадській чи будь-якій іншій сфері, що здійснюється за ознакою статі та ґендеру і має на меті чи призводить до часткового або повного невизнання або обмеження можливостей жінок користуватися своїми правами незалежно від їхнього сімейного статусу.",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,"Може виражатися через дії, що унеможливлюють реалізацію жінками їхніх прав через невизнання існуючої нерівності та перепон, з якими стикаються жінки (ненавмисна або непряма дискримінація), а також через бездіяльність, тобто невжиття необхідних законодавчих заходів для забезпечення повної реалізації прав жінок, неприйняття та невпровадження національної політики, спрямованої на досягнення ґендерної рівності, та невиконання відповідних законів."
32,Що таке дискримінація за ознакою статі?,"Це дискримінація, що виникає через взаємозв’язок між статтю (як біологічними характеристиками жінок та чоловіків) та їхніми соціально сконструйованими ідентичностями, ознаками та ролями, а також соціальними та культурними значеннями, що суспільства приписують  біологічним відмінностям жінок та чоловіків.",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,"Такі взаємодії призводять до утворення ієрархічності та нерівності у відносинах і ролях між та серед жінок та чоловіків, а також до несприятливого соціального становища  жінок.  На соціальне позиціонування жінок і чоловіків впливають політичні, економічні, культурні, соціальні, релігійні, ідеологічні та екологічні фактори, і вони можуть змінюватися з часом."
33,Що таке гендерна ідентичність?,"Це внутрішнє, глибоко особисте відчуття кожної людини про те, ким вона є: чоловіком, жінкою, обома, жодним із них або іншим гендером. Таке відчуття може збігатися або не збігатися з біологічною статтю, яка визначена під час народження. Гендерна ідентичність є важливою частиною особистості, її визнання та повага до гендерної ідентичності мають істотне значення для добробуту та прав людини. ",gender_identity_definition,гендерні студії;права людини;соціологія,
34,Що означає гендерна ідентичність?,"Це внутрішнє, глибоко особисте відчуття кожної людини про те, ким вона є: чоловіком, жінкою, обома, жодним із них або іншим гендером. Таке відчуття може збігатися або не збігатися з біологічною статтю, яка визначена під час народження. Гендерна ідентичність є важливою частиною особистості, її визнання та повага до гендерної ідентичності мають істотне значення для добробуту та прав людини. ",gender_identity_definition,гендерні студії;права людини;соціологія,
35,Поясни значення гендерної ідентичності,"Це внутрішній індивідуальний ґендерний досвід, що глибоко відчуває кожна людина. Він може співвідноситися  чи не співвідноситися зі статтю, визначеною при народженні, зокрема щодо відчуття свого тіла (може включати, за умови вільного вибору, зміну зовнішнього вигляду або функцій тіла медичними, хірургічними або іншими засобами) та інших способів вираження ґендеру, як-то одяг, мова чи манери.",gender_identity_definition,гендерні студії;права людини;соціологія,
36,Поясни гендерну ідентичність,"Це внутрішній індивідуальний ґендерний досвід, що глибоко відчуває кожна людина. Він може співвідноситися  чи не співвідноситися зі статтю, визначеною при народженні, зокрема щодо відчуття свого тіла (може включати, за умови вільного вибору, зміну зовнішнього вигляду або функцій тіла медичними, хірургічними або іншими засобами) та інших способів вираження ґендеру, як-то одяг, мова чи манери.",gender_identity_definition,гендерні студії;права людини;соціологія,
37,Що мається на увазі під поняттям гендерна ідентичність,"Це внутрішній індивідуальний ґендерний досвід, що глибоко відчуває кожна людина. Він може співвідноситися  чи не співвідноситися зі статтю, визначеною при народженні, зокрема щодо відчуття свого тіла (може включати, за умови вільного вибору, зміну зовнішнього вигляду або функцій тіла медичними, хірургічними або іншими засобами) та інших способів вираження ґендеру, як-то одяг, мова чи манери.",gender_identity_definition,гендерні студії;права людини;соціологія,
38,Що таке гендерна політика?,"Це система цілеспрямованої діяльності органів державної влади, органів місцевого самоврядування, підприємств, установ, організацій, а також громадян України, іноземців та осіб без громадянства, які перебувають в Україні на законних підставах, спрямована на забезпечення рівних прав та можливостей гендерних груп у всіх сферах суспільного життя.",gender_policy_definition,державна політика;права людини;соціальна рівність,
39,Поясни значення гендерної політики,"Гендерна політика - це система цілеспрямованої діяльності органів державної влади, органів місцевого самоврядування, підприємств, установ, організацій, а також громадян України, іноземців та осіб без громадянства, які перебувають в Україні на законних підставах, спрямована на забезпечення рівних прав та можливостей гендерних груп у всіх сферах суспільного життя.",gender_policy_definition,державна політика;права людини;соціальна рівність,
40,Що мається на увазі під терміном гендерна політика,"Гендерна політика - це система цілеспрямованої діяльності органів державної влади, органів місцевого самоврядування, підприємств, установ, організацій, а також громадян України, іноземців та осіб без громадянства, які перебувають в Україні на законних підставах, спрямована на забезпечення рівних прав та можливостей гендерних груп у всіх сферах суспільного життя.",gender_policy_definition,державна політика;права людини;соціальна рівність,
41,Що означає гендерна політика,"Це система цілеспрямованої діяльності органів державної влади, органів місцевого самоврядування, підприємств, установ, організацій, а також громадян України, іноземців та осіб без громадянства, які перебувають в Україні на законних підставах, спрямована на забезпечення рівних прав та можливостей гендерних груп у всіх сферах суспільного життя.",gender_policy_definition,державна політика;права людини;соціальна рівність,
42,Дай визначення гендерній політиці,"Гендерна політика - це система цілеспрямованої діяльності органів державної влади, органів місцевого самоврядування, підприємств, установ, організацій, а також громадян України, іноземців та осіб без громадянства, які перебувають в Україні на законних підставах, спрямована на забезпечення рівних прав та можливостей гендерних груп у всіх сферах суспільного життя.",gender_policy_definition,державна політика;права людини;соціальна рівність,
43,Що таке гендерна рівність?,"Це рівність прав, свобод, обов’язків та можливостей гендерних груп у всіх сферах суспільного життя, що передбачає відсутність дискримінації за ознакою статі, забезпечення рівного доступу до ресурсів, участі в ухваленні рішень, а також урахування інтересів, потреб і пріоритетів обох статей із визнанням їх різноманітності. Гендерну рівність визнають як засадниче право людини та необхідну умову сталого розвитку, орієнтованого на людину.",gender_equality_definition,права людини;соціальна політика;освіта,"Ґендерна рівність не є жіночим питанням, а повинна стосуватися і залучати чоловіків так само, як і жінок. Рівність між жінками та чоловіками розглядається як питання прав людини та як необхідна умова і показник сталого людиноцентричного розвитку."
44,Що означає гендерна рівність,"Гендерна рівність - це рівність прав, свобод, обов’язків та можливостей гендерних груп у всіх сферах суспільного життя, що передбачає відсутність дискримінації за ознакою статі, забезпечення рівного доступу до ресурсів, участі в ухваленні рішень, а також урахування інтересів, потреб і пріоритетів обох статей із визнанням їх різноманітності. Гендерну рівність визнають як засадниче право людини та необхідну умову сталого розвитку, орієнтованого на людину.",gender_equality_definition,права людини;соціальна політика;освіта,"Ґендерна рівність не є жіночим питанням, а повинна стосуватися і залучати чоловіків так само, як і жінок. Рівність між жінками та чоловіками розглядається як питання прав людини та як необхідна умова і показник сталого людиноцентричного розвитку."
45,Поясни значення гендерна рівність,"Це рівні права, обовʼязки та можливості жінок та чоловіків, дівчат та хлопців. 
Рівність не означає, що жінки та чоловіки стануть однаковими, але права, обовʼязки та можливості жінок і чоловіків не залежатимуть від того, народилися вони жінками чи чоловіками. Ґендерна рівність означає, що інтереси, потреби та пріоритети як жінок, так і чоловіків враховуються, тим самим визнаючи різноманітність різних груп жінок і чоловіків.",gender_equality_definition,права людини;соціальна політика;освіта,"Ґендерна рівність не є жіночим питанням, а повинна стосуватися і залучати чоловіків так само, як і жінок. Рівність між жінками та чоловіками розглядається як питання прав людини та як необхідна умова і показник сталого людиноцентричного розвитку."
46,Що таке гендерна нерівність?,"Це стан речей в правовій, соціальній і культурній сферах, коли стать та/або ґендер визначає різницю у правах та ставленні (повазі до гідності) до жінок та чоловіків, що виражається в їхньому нерівному доступі до прав та користуванні ними, а також очікування відповідності  поведінки особи стереотипним соціальним та культурним ролям.",gender_inequality_definition,права людини;соціологія;соціальна політика,"Цей фактор впливає на статус жінок і чоловіків у всіх сферах життя суспільства – публічній чи приватній, у сімʼї чи на ринку праці, в економічному чи політичному житті, у владі чи на рівні прийняття рішень, а також у соціальних ґендерних відносинах. Практично у всіх суспільствах жінки перебувають у підлеглому становищі щодо чоловіків."
47,Що означає гендерна нерівність,"Це стан речей в правовій, соціальній і культурній сферах, коли стать та/або ґендер визначає різницю у правах та ставленні (повазі до гідності) до жінок та чоловіків, що виражається в їхньому нерівному доступі до прав та користуванні ними, а також очікування відповідності  поведінки особи стереотипним соціальним та культурним ролям.",gender_inequality_definition,права людини;соціологія;соціальна політика,"Цей фактор впливає на статус жінок і чоловіків у всіх сферах життя суспільства – публічній чи приватній, у сімʼї чи на ринку праці, в економічному чи політичному житті, у владі чи на рівні прийняття рішень, а також у соціальних ґендерних відносинах. Практично у всіх суспільствах жінки перебувають у підлеглому становищі щодо чоловіків."
